State,District,Market,Commodity,Variety,Min Price,Max Price,Modal Price,Arrivals (Tonnes),Price Date
Nairobi,Nairobi,Kawangware,Dry maize,,5500.0,6500.0,6500.0,,17/04/2026
Nairobi,Nairobi,Kawangware,Beans (yellow-green),,16500.0,19500.0,19500.0,,17/04/2026
Nairobi,Nairobi,Kawangware,Red irish potato,,4400.0,5200.0,5200.0,,17/04/2026
Nairobi,Nairobi,Kawangware,Green grams,,19250.0,22750.0,22750.0,,17/04/2026
Nairobi,Nairobi,Kawangware,Dry maize,,5500.0,6500.0,6500.0,,16/04/2026
Nairobi,Nairobi,Kawangware,Beans (yellow-green),,16500.0,19500.0,19500.0,,16/04/2026
Nairobi,Nairobi,Kawangware,Red irish potato,,4400.0,5200.0,5200.0,,16/04/2026
Nairobi,Nairobi,Kawangware,Green grams,,19250.0,22750.0,22750.0,,16/04/2026
Nairobi,Nairobi,Kawangware,Dry maize,,5500.0,6500.0,6500.0,,15/04/2026
Nairobi,Nairobi,Kawangware,Beans (yellow-green),,16500.0,19500.0,19500.0,,15/04/2026
Nairobi,Nairobi,Kawangware,Red irish potato,,4400.0,5200.0,5200.0,,15/04/2026
Nairobi,Nairobi,Kawangware,Green grams,,19250.0,22750.0,22750.0,,15/04/2026
Nairobi,Nairobi,Kawangware,Dry maize,,5500.0,6500.0,6500.0,,14/04/2026
Nairobi,Nairobi,Kawangware,Beans (yellow-green),,16500.0,19500.0,19500.0,,14/04/2026
Nairobi,Nairobi,Kawangware,Red irish potato,,4400.0,5200.0,5200.0,,14/04/2026
Nairobi,Nairobi,Kawangware,Green grams,,19250.0,22750.0,22750.0,,14/04/2026
Nairobi,Nairobi,Kawangware,Dry maize,,5500.0,6500.0,6500.0,,13/04/2026
Nairobi,Nairobi,Kawangware,Beans (yellow-green),,16500.0,19500.0,19500.0,,13/04/2026
Nairobi,Nairobi,Kawangware,Red irish potato,,4400.0,5200.0,5200.0,,13/04/2026
Nairobi,Nairobi,Kawangware,Green grams,,19250.0,22750.0,22750.0,,13/04/2026
Nairobi,Nairobi,Kawangware,Dry maize,,5500.0,6500.0,6500.0,,10/04/2026
Nairobi,Nairobi,Kawangware,Beans (yellow-green),,16500.0,19500.0,19500.0,,10/04/2026
Nairobi,Nairobi,Kawangware,Red irish potato,,4400.0,5200.0,5200.0,,10/04/2026
Nairobi,Nairobi,Kawangware,Green grams,,19250.0,22750.0,22750.0,,10/04/2026
Nairobi,Nairobi,Kawangware,Dry maize,,5500.0,6500.0,6500.0,,09/04/2026
Nairobi,Nairobi,Kawangware,Beans (yellow-green),,16500.0,19500.0,19500.0,,09/04/2026
Nairobi,Nairobi,Kawangware,Red irish potato,,4400.0,5200.0,5200.0,,09/04/2026
Nairobi,Nairobi,Kawangware,Green grams,,19250.0,22750.0,22750.0,,09/04/2026
Nairobi,Nairobi,Kawangware,Dry maize,,5500.0,6500.0,6500.0,,07/04/2026
Nairobi,Nairobi,Kawangware,Beans (yellow-green),,16500.0,19500.0,19500.0,,07/04/2026
Nairobi,Nairobi,Kawangware,Red irish potato,,4400.0,5200.0,5200.0,,07/04/2026
Nairobi,Nairobi,Kawangware,Green grams,,19250.0,22750.0,22750.0,,07/04/2026
Nairobi,Nairobi,Kawangware,Dry maize,,5500.0,6500.0,6500.0,,02/04/2026
Nairobi,Nairobi,Kawangware,Beans (yellow-green),,16500.0,19500.0,19500.0,,02/04/2026
Nairobi,Nairobi,Kawangware,Red irish potato,,4400.0,5200.0,5200.0,,02/04/2026
Nairobi,Nairobi,Kawangware,Green grams,,19250.0,22750.0,22750.0,,02/04/2026
Nairobi,Nairobi,Kawangware,Dry maize,,5500.0,6500.0,6500.0,,01/04/2026
Nairobi,Nairobi,Kawangware,Beans (yellow-green),,16500.0,19500.0,19500.0,,01/04/2026
Nairobi,Nairobi,Kawangware,Red irish potato,,4400.0,5200.0,5200.0,,01/04/2026
Nairobi,Nairobi,Kawangware,Green grams,,19250.0,22750.0,22750.0,,01/04/2026
Nairobi,Nairobi,Kawangware,Dry maize,,5500.0,6500.0,6500.0,,31/03/2026
Nairobi,Nairobi,Kawangware,Beans (yellow-green),,16500.0,19500.0,19500.0,,31/03/2026
Nairobi,Nairobi,Kawangware,Red irish potato,,4400.0,5200.0,5200.0,,31/03/2026
Nairobi,Nairobi,Kawangware,Green grams,,19250.0,22750.0,22750.0,,31/03/2026
Nairobi,Nairobi,Kawangware,Dry maize,,5500.0,6500.0,6500.0,,30/03/2026
Nairobi,Nairobi,Kawangware,Beans (yellow-green),,16500.0,19500.0,19500.0,,30/03/2026
Nairobi,Nairobi,Kawangware,Red irish potato,,4400.0,5200.0,5200.0,,30/03/2026
Nairobi,Nairobi,Kawangware,Green grams,,19250.0,22750.0,22750.0,,30/03/2026
Nairobi,Nairobi,Kawangware,Dry maize,,5500.0,6500.0,6500.0,,27/03/2026
Nairobi,Nairobi,Kawangware,Beans (yellow-green),,16500.0,19500.0,19500.0,,27/03/2026
Nairobi,Nairobi,Kawangware,Red irish potato,,4400.0,5200.0,5200.0,,27/03/2026
Nairobi,Nairobi,Kawangware,Green grams,,19250.0,22750.0,22750.0,,27/03/2026
Nairobi,Nairobi,Kawangware,Dry maize,,5500.0,6500.0,6500.0,,26/03/2026
Nairobi,Nairobi,Kawangware,Beans (yellow-green),,16500.0,19500.0,19500.0,,26/03/2026
Nairobi,Nairobi,Kawangware,Red irish potato,,4400.0,5200.0,5200.0,,26/03/2026
Nairobi,Nairobi,Kawangware,Green grams,,19250.0,22750.0,22750.0,,26/03/2026
Nairobi,Nairobi,Kawangware,Dry maize,,5500.0,6500.0,6500.0,,26/03/2026
Nairobi,Nairobi,Kawangware,Beans (yellow-green),,16500.0,19500.0,19500.0,,26/03/2026
Nairobi,Nairobi,Kawangware,Red irish potato,,4400.0,5200.0,5200.0,,26/03/2026
Nairobi,Nairobi,Kawangware,Green grams,,19250.0,22750.0,22750.0,,26/03/2026
Nairobi,Nairobi,Kawangware,Dry maize,,5500.0,6500.0,6500.0,,25/03/2026
Nairobi,Nairobi,Kawangware,Beans (yellow-green),,16500.0,19500.0,19500.0,,25/03/2026
Nairobi,Nairobi,Kawangware,Red irish potato,,4400.0,5200.0,5200.0,,25/03/2026
Nairobi,Nairobi,Kawangware,Green grams,,19250.0,22750.0,22750.0,,25/03/2026
Nairobi,Nairobi,Kawangware,Dry maize,,5500.0,6500.0,6500.0,,24/03/2026
Nairobi,Nairobi,Kawangware,Beans (yellow-green),,16500.0,19500.0,19500.0,,24/03/2026
Nairobi,Nairobi,Kawangware,Red irish potato,,4400.0,5200.0,5200.0,,24/03/2026
Nairobi,Nairobi,Kawangware,Green grams,,19250.0,22750.0,22750.0,,24/03/2026
Nairobi,Nairobi,Kangemi Market,Dry maize,,5000.0,5000.0,5000.0,,23/03/2026
Nairobi,Nairobi,Kangemi Market,Beans (yellow-green),,15000.0,15000.0,15000.0,,23/03/2026
Nairobi,Nairobi,Kangemi Market,Red irish potato,,4000.0,4000.0,4000.0,,23/03/2026
Nairobi,Nairobi,Kangemi Market,Green grams,,17500.0,17500.0,17500.0,,23/03/2026
Nairobi,Nairobi,Kawangware,Dry maize,,5500.0,6500.0,6500.0,,23/03/2026
Nairobi,Nairobi,Kawangware,Beans (yellow-green),,16500.0,19500.0,19500.0,,23/03/2026
Nairobi,Nairobi,Kawangware,Red irish potato,,4400.0,5200.0,5200.0,,23/03/2026
Nairobi,Nairobi,Kawangware,Green grams,,19250.0,22750.0,22750.0,,23/03/2026
Nairobi,Nairobi,Kawangware,Dry maize,,5500.0,6500.0,6500.0,,19/03/2026
Nairobi,Nairobi,Kawangware,Beans (yellow-green),,16500.0,19500.0,19500.0,,19/03/2026
Nairobi,Nairobi,Kawangware,Red irish potato,,4400.0,5200.0,5200.0,,19/03/2026
Nairobi,Nairobi,Kawangware,Green grams,,19250.0,22750.0,22750.0,,19/03/2026
Nairobi,Nairobi,Kawangware,Dry maize,,5389.0,6500.0,6500.0,,18/03/2026
Nairobi,Nairobi,Kawangware,Beans (yellow-green),,16167.0,19500.0,19500.0,,18/03/2026
Nairobi,Nairobi,Kawangware,Red irish potato,,4311.2,5200.0,5200.0,,18/03/2026
Nairobi,Nairobi,Kawangware,Green grams,,18861.5,22750.0,22750.0,,18/03/2026
Nairobi,Nairobi,Kangemi Market,Dry maize,,5000.0,5000.0,5000.0,,18/03/2026
Nairobi,Nairobi,Kangemi Market,Beans (yellow-green),,15000.0,15000.0,15000.0,,18/03/2026
Nairobi,Nairobi,Kangemi Market,Red irish potato,,4000.0,4000.0,4000.0,,18/03/2026
Nairobi,Nairobi,Kangemi Market,Green grams,,17500.0,17500.0,17500.0,,18/03/2026
Nakuru,Nakuru,Molo,Dry maize,,4444.0,4444.0,4444.0,,27/05/2025
Nakuru,Nakuru,Molo,Beans (yellow-green),,13332.0,13332.0,13332.0,,27/05/2025
Nakuru,Nakuru,Molo,Red irish potato,,3555.2,3555.2,3555.2,,27/05/2025
Nakuru,Nakuru,Molo,Green grams,,15554.0,15554.0,15554.0,,27/05/2025
Nakuru,Nakuru,Molo,Dry maize,,4444.0,4444.0,4444.0,,26/05/2025
Nakuru,Nakuru,Molo,Beans (yellow-green),,13332.0,13332.0,13332.0,,26/05/2025
Nakuru,Nakuru,Molo,Red irish potato,,3555.2,3555.2,3555.2,,26/05/2025
Nakuru,Nakuru,Molo,Green grams,,15554.0,15554.0,15554.0,,26/05/2025
Nakuru,Nakuru,Molo,Dry maize,,4556.0,4556.0,4556.0,,24/05/2025
Nakuru,Nakuru,Molo,Beans (yellow-green),,13668.0,13668.0,13668.0,,24/05/2025
Nakuru,Nakuru,Molo,Red irish potato,,3644.8,3644.8,3644.8,,24/05/2025
Nakuru,Nakuru,Molo,Green grams,,15946.0,15946.0,15946.0,,24/05/2025
Nakuru,Nakuru,Molo,Dry maize,,4556.0,4556.0,4556.0,,23/05/2025
Nakuru,Nakuru,Molo,Beans (yellow-green),,13668.0,13668.0,13668.0,,23/05/2025
Nakuru,Nakuru,Molo,Red irish potato,,3644.8,3644.8,3644.8,,23/05/2025
Nakuru,Nakuru,Molo,Green grams,,15946.0,15946.0,15946.0,,23/05/2025
Nakuru,Nakuru,Molo,Dry maize,,4556.0,4556.0,4556.0,,22/05/2025
Nakuru,Nakuru,Molo,Beans (yellow-green),,13668.0,13668.0,13668.0,,22/05/2025
Nakuru,Nakuru,Molo,Red irish potato,,3644.8,3644.8,3644.8,,22/05/2025
Nakuru,Nakuru,Molo,Green grams,,15946.0,15946.0,15946.0,,22/05/2025
Nakuru,Nakuru,Molo,Dry maize,,4333.0,4333.0,4333.0,,21/05/2025
Nakuru,Nakuru,Molo,Beans (yellow-green),,12999.0,12999.0,12999.0,,21/05/2025
Nakuru,Nakuru,Molo,Red irish potato,,3466.4,3466.4,3466.4,,21/05/2025
Nakuru,Nakuru,Molo,Green grams,,15165.5,15165.5,15165.5,,21/05/2025
Nakuru,Nakuru,Molo,Dry maize,,4444.0,4444.0,4444.0,,20/05/2025
Nakuru,Nakuru,Molo,Beans (yellow-green),,13332.0,13332.0,13332.0,,20/05/2025
Nakuru,Nakuru,Molo,Red irish potato,,3555.2,3555.2,3555.2,,20/05/2025
Nakuru,Nakuru,Molo,Green grams,,15554.0,15554.0,15554.0,,20/05/2025
Nakuru,Nakuru,Molo,Dry maize,,4222.0,4222.0,4222.0,,19/05/2025
Nakuru,Nakuru,Molo,Beans (yellow-green),,12666.0,12666.0,12666.0,,19/05/2025
Nakuru,Nakuru,Molo,Red irish potato,,3377.6,3377.6,3377.6,,19/05/2025
Nakuru,Nakuru,Molo,Green grams,,14777.0,14777.0,14777.0,,19/05/2025
Nakuru,Nakuru,Molo,Dry maize,,3778.0,3778.0,3778.0,,17/05/2025
Nakuru,Nakuru,Molo,Beans (yellow-green),,11334.0,11334.0,11334.0,,17/05/2025
Nakuru,Nakuru,Molo,Red irish potato,,3022.4,3022.4,3022.4,,17/05/2025
Nakuru,Nakuru,Molo,Green grams,,13223.0,13223.0,13223.0,,17/05/2025
Nakuru,Nakuru,Molo,Dry maize,,3778.0,3778.0,3778.0,,16/05/2025
